movie_titles,movie_urls,movies_release_years,movies_genres,movies_runtimes,movies_age_ratings,movies_imdb_ratings,movies_streaming_availability
Mission: Impossible - Dead Reckoning Part One,https://www.justwatch.com/in/movie/mission-impossible-7,2023,"Mystery & Thriller, Action & Adventure",2h,Age rating not found,7.7,"Amazon Prime Video. It is also possible to buy ""Mission: Impossible - Dead Reckoning Part One"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Parking,https://www.justwatch.com/in/movie/parking-2023,2023,"Mystery & Thriller, Drama",2h,UA,8.0,Hotstar.
Oppenheimer,https://www.justwatch.com/in/movie/oppenheimer,2023,"Drama, History",3h,UA,8.4,Streaming not available
Hi Nanna,https://www.justwatch.com/in/movie/nani30,2023,"Drama, Kids & Family, Romance",2h,U,8.3,Netflix.
Tiger 3,https://www.justwatch.com/in/movie/tiger-3,2023,"Action & Adventure, Mystery & Thriller",2h,Age rating not found,6.4,Amazon Prime Video.
Salaar,https://www.justwatch.com/in/movie/salaar,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",2h,A,6.6,Netflix.
Chithha,https://www.justwatch.com/in/movie/chittha,2023,"Drama, Mystery & Thriller",2h,UA,8.3,Hotstar.
Three of Us,https://www.justwatch.com/in/movie/three-of-us,2023,Drama,1h,Age rating not found,7.6,Netflix.
Sam Bahadur,https://www.justwatch.com/in/movie/sam-bahadur,2023,"Drama, War & Military, History",2h,UA,8.2,Streaming not available
Leo,https://www.justwatch.com/in/movie/leo-2023,2023,"Mystery & Thriller, Action & Adventure, Crime, Drama",2h,UA,7.2,Netflix.
The Creator,https://www.justwatch.com/in/movie/the-creator,2023,"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",2h,Age rating not found,6.8,"Hotstar. It is also possible to buy ""The Creator"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Amazon Video, Google Play Movies, YouTube online."
Gadar 2,https://www.justwatch.com/in/movie/gadar-2,2023,"Action & Adventure, Drama, Mystery & Thriller",2h,UA,5.2,Zee5.
Guthlee Ladoo,https://www.justwatch.com/in/movie/guthlee-ladoo,2023,Drama,1h,Age rating not found,7.7,Amazon Prime Video.
Annapoorani,https://www.justwatch.com/in/movie/annapoorani,2023,"Comedy, Drama",2h,UA,3.6,Streaming not available
Rocky Aur Rani Kii Prem Kahaani,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,2023,"Comedy, Drama, Kids & Family, Romance",2h,Age rating not found,6.6,Amazon Prime Video or rent it on Amazon Video online.
The Family Plan,https://www.justwatch.com/in/movie/the-family-plan,2023,"Action & Adventure, Comedy",1h,A,6.3,Apple TV Plus.
Toby,https://www.justwatch.com/in/movie/toby,2023,"Drama, Mystery & Thriller, Action & Adventure, Crime",2h,Age rating not found,7.4,Sony Liv.
Anatomy of a Fall,https://www.justwatch.com/in/movie/anatomie-dune-chute,2023,"Drama, Crime, Mystery & Thriller",2h,Age rating not found,7.8,Streaming not available
The Marvels,https://www.justwatch.com/in/movie/the-marvels,2023,"Action & Adventure, Science-Fiction, Fantasy",1h,Age rating not found,5.6,Streaming not available
Aquaman and the Lost Kingdom,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,2023,"Action & Adventure, Fantasy, Science-Fiction",2h,Age rating not found,5.9,Streaming not available
Society of the Snow,https://www.justwatch.com/in/movie/society-of-the-snow,2023,"History, Drama, Mystery & Thriller",2h,Age rating not found,7.9,Netflix.
Poor Things,https://www.justwatch.com/in/movie/poor-things,2023,"Comedy, Romance, Science-Fiction, Drama",2h,Age rating not found,8.4,Streaming not available
Past Lives,https://www.justwatch.com/in/movie/past-lives,2023,"Drama, Romance",1h,UA,7.9,Lionsgate Play.
Jigarthanda Double X,https://www.justwatch.com/in/movie/jigarthanda-doublex,2023,"Drama, Action & Adventure, Comedy, Western",2h,UA,8.1,"Netflix, Sun Nxt."
2018,https://www.justwatch.com/in/movie/2018-2023,2023,"Action & Adventure, Mystery & Thriller, Drama",2h,UA,8.4,Sony Liv.
RRR,https://www.justwatch.com/in/movie/roudram-ranam-rudhiram,2022,"Drama, Action & Adventure",3h,UA,7.8,"Netflix, Hotstar, Zee5, VI movies and tv."
777 Charlie,https://www.justwatch.com/in/movie/777-charlie,2022,"Comedy, Drama",2h,UA,8.8,Voot or for free with ads on Jio Cinema.
Avatar: The Way of Water,https://www.justwatch.com/in/movie/avatar-2,2022,"Science-Fiction, Fantasy, Action & Adventure",3h,UA,7.6,"Hotstar. It is also possible to buy ""Avatar: The Way of Water"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Google Play Movies, YouTube online."
K.G.F: Chapter 2,https://www.justwatch.com/in/movie/k-g-f-chapter-2,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",2h,UA,8.3,Amazon Prime Video or rent it on Amazon Video online.
The Batman,https://www.justwatch.com/in/movie/the-batman,2022,"Crime, Mystery & Thriller, Action & Adventure, Drama",2h,UA,7.8,"Netflix. It is also possible to buy ""The Batman"" on Google Play Movies, YouTube, Apple TV as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play online."
