tv_show_titles,tv_show_urls,tv_shows_runtimes,tv_shows_age_ratings,tv_shows_imdb_ratings,tv_shows_genres,tv_shows_release_years,tv_shows_streaming_availability
Yellowjackets,https://www.justwatch.com/in/movie/the-batman,58min,Age rating not found,7.8,"Mystery & Thriller, Drama, Horror",2021,"Jio Cinema, Netflix, Voot."
How I Met Your Mother,https://www.justwatch.com/in/movie/role-play-2023,24min,U,8.3,"Comedy, Drama, Romance",2005,Hotstar.
Aarya,https://www.justwatch.com/in/movie/extra,45min,Age rating not found,7.9,"Crime, Drama, Mystery & Thriller, Action & Adventure",2020,Hotstar or for free with ads on Hotstar.
The Boys,https://www.justwatch.com/in/movie/joker-2019,1h,A,8.7,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",2019,Amazon Prime Video.
Wednesday,https://www.justwatch.com/in/movie/dd-returns,49min,Age rating not found,8.1,"Science-Fiction, Comedy, Crime, Fantasy, Kids & Family, Horror",2022,Netflix.
Dark Desire,https://www.justwatch.com/in/movie/jailer,34min,Age rating not found,6.5,"Mystery & Thriller, Drama",2020,Netflix.
The Curse,https://www.justwatch.com/in/movie/my-name-is-shruthi,53min,Age rating not found,7.1,"Comedy, Drama, Mystery & Thriller",2023,Lionsgate Play.
College Romance,https://www.justwatch.com/in/movie/inception,31min,A,8.3,"Comedy, Drama, Romance",2018,Sony Liv.
Shameless,https://www.justwatch.com/in/movie/wonka,54min,U,8.5,"Drama, Comedy",2011,Netflix.
Undekhi,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2,34min,Age rating not found,,"Crime, Drama",2020,Sony Liv.
Slow Horses,https://www.justwatch.com/in/movie/batman-begins,45min,A,8.1,"Drama, Mystery & Thriller, Comedy, Crime",2022,Apple TV Plus.
Cubicles,https://www.justwatch.com/in/movie/dumb-money,31min,Age rating not found,8.2,"Comedy, Drama",2019,Sony Liv.
The Embassy,https://www.justwatch.com/in/movie/starfish-2023,47min,Age rating not found,6.5,"Drama, War & Military, Mystery & Thriller, Made in Europe",2016,Streaming not available
Stranger Things,https://www.justwatch.com/in/movie/joram,1h,Age rating not found,8.7,"Science-Fiction, Drama, Fantasy, Horror, Mystery & Thriller",2016,Netflix.
Modern Family,https://www.justwatch.com/in/movie/the-meg-2-the-trench,21min,Age rating not found,8.5,"Comedy, Drama, Romance",2009,Hotstar.
The Big Bang Theory,https://www.justwatch.com/in/movie/may-december,20min,U,8.2,"Comedy, Romance",2007,"Netflix, Amazon Prime Video."
Sex Education,https://www.justwatch.com/in/movie/kannur-squad,54min,A,8.3,"Comedy, Drama, Romance",2019,Netflix.
The Night Manager,https://www.justwatch.com/in/movie/fukrey-3,52min,A,7.6,"Crime, Drama, Mystery & Thriller, Action & Adventure",2023,Hotstar or for free with ads on Hotstar.
Luther,https://www.justwatch.com/in/movie/the-expendables-4,58min,Age rating not found,8.4,"Drama, Mystery & Thriller, Crime, Made in Europe",2010,Amazon Prime Video for free.
Gen V,https://www.justwatch.com/in/movie/roudram-ranam-rudhiram,47min,Age rating not found,7.8,"Science-Fiction, Action & Adventure, Drama, Comedy",2023,Amazon Prime Video.
ted,https://www.justwatch.com/in/movie/omg-2,41min,Age rating not found,8.1,Comedy,2024,Streaming not available
Apharan,https://www.justwatch.com/in/movie/the-great-indian-rescue,24min,Age rating not found,8.3,"Crime, Drama, Action & Adventure, Mystery & Thriller",2018,"Voot, Jio Cinema, Alt Balaji or for free with ads on Jio Cinema."
You,https://www.justwatch.com/in/movie/falimy,48min,A,7.7,"Drama, Crime, Romance, Mystery & Thriller",2018,Netflix.
Attack on Titan,https://www.justwatch.com/in/movie/the-dark-knight,25min,UA,9.0,"Action & Adventure, Drama, Fantasy, Horror, Animation, Science-Fiction",2013,Streaming not available
Kübra,https://www.justwatch.com/in/movie/tumbbad,43min,Age rating not found,6.4,"Drama, Mystery & Thriller",2024,Netflix.
Suits,https://www.justwatch.com/in/movie/joe-2023,44min,Age rating not found,8.4,"Comedy, Drama",2011,"Netflix, Amazon Prime Video, Jio Cinema."
Criminal Record,https://www.justwatch.com/in/movie/avatar-2,45min,A,7.3,"Mystery & Thriller, Crime, Drama",2024,Apple TV Plus.
Blue Eye Samurai,https://www.justwatch.com/in/movie/maestro-2021-1,47min,A,8.8,"Mystery & Thriller, Animation, Action & Adventure, Drama, History",2023,Netflix.
The Walking Dead,https://www.justwatch.com/in/movie/shaadi-mein-zaroor-aana,46min,A,8.1,"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",2010,Netflix.
The Witcher,https://www.justwatch.com/in/movie/oldboy-2003,57min,A,8.0,"Drama, Action & Adventure, Science-Fiction, Fantasy",2019,Netflix.
The Unwanted Undead Adventurer,https://www.justwatch.com/in/movie/john-wick-chapter-4,24min,Age rating not found,,"Science-Fiction, Action & Adventure",2024,"Netflix, Crunchyroll or for free with ads on Crunchyroll."
A Murder at the End of the World,https://www.justwatch.com/in/movie/the-abandoned-2023,1h,Age rating not found,7.1,"Drama, Mystery & Thriller, Crime",2023,Hotstar.
Person of Interest,https://www.justwatch.com/in/movie/2018-2023,44min,U,8.5,"Science-Fiction, Drama, Action & Adventure, Crime, Mystery & Thriller",2011,Streaming not available
Obliterated,https://www.justwatch.com/in/movie/dunkirk,51min,A,6.7,"Comedy, Action & Adventure, Drama",2023,Netflix.
